timestamp,datetime,total_buy_qty,total_sell_qty,ltp,open,high,low,close,volume,change_percent,top_bid,top_ask,mid_price,spread,spread_bps,bid_drift,ask_drift,flow_imbalance,bid_volatility,ask_volatility,price_pressure
1748935015,2025-06-03 12:46:55,481275,1384500,24751,24835,24929,24700,24826.3,4685400,-0.3,24745.9,24750,24747.95,4.099999999998545,1.6567028784196447,-2175.0,825.0,-3000.0,0,0,-30000000.0
1748935017,2025-06-03 12:46:57,483075,1383000,24751,24835,24929,24700,24826.3,4685550,-0.3,24745.9,24751.6,24748.75,5.69999999999709,2.3031466235656706,900.0,-750.0,1650.0,0,0,16500000.0
1748935019,2025-06-03 12:46:59,482775,1383000,24751,24835,24929,24700,24826.3,4685550,-0.3,24745.9,24751,24748.45,5.099999999998545,2.060735116744097,-150.0,0.0,-150.0,0,0,-1500000.0
1748935022,2025-06-03 12:47:02,476250,1371000,24751,24835,24929,24700,24826.3,4685550,-0.3,24745.9,24751,24748.45,5.099999999998545,2.060735116744097,-2175.0,-4000.0,1825.0,3273.204421893017,5335.421140828529,0.21199667304653613
1748935024,2025-06-03 12:47:04,482925,1380900,24751,24835,24929,24700,24826.3,4685550,-0.3,24745.9,24751,24748.45,5.099999999998545,2.060735116744097,3337.5,4950.0,-1612.5,4737.631924284537,7762.409419761367,-0.12899957229886433
1748935026,2025-06-03 12:47:06,484125,1382700,24750,24835,24929,24700,24826.3,4685625,-0.31,24750,24751,24750.5,1,0.4040322417728935,600.0,900.0,-300.0,4700.681466553547,7829.870688587392,-0.023941482696975172
1748935028,2025-06-03 12:47:08,484950,1380450,24750,24835,24929,24700,24826.3,4685775,-0.31,24750,24751,24750.5,1,0.4040322417728935,412.5,-1125.0,1537.5,4692.260083104942,7884.904485788017,0.12224535819290744
1748935030,2025-06-03 12:47:10,483525,1379025,24750,24835,24929,24700,24826.3,4686000,-0.31,24745.2,24751,24748.1,5.799999999999272,2.3436142572558185,-712.5,-712.5,0.0,2978.0643356885357,4802.16015845994,0.0
1748935032,2025-06-03 12:47:12,483975,1382700,24750,24835,24929,24700,24826.3,4686000,-0.31,24745.2,24750,24747.6,4.799999999999272,1.93958202007438,225.0,1837.5,-1612.5,1009.7184013377195,2399.4139909569585,-0.4729942305394621
1748935034,2025-06-03 12:47:14,485325,1383300,24745.2,24835,24929,24700,24826.3,4686075,-0.33,24745.2,24750,24747.6,4.799999999999272,1.93958202007438,675.0,300.0,375.0,1045.9744260736015,2284.1163499261593,0.11260953948814306
1748935036,2025-06-03 12:47:16,386250,1380300,24745.2,24835,24929,24700,24826.3,4686150,-0.33,24745,24745.2,24745.1,0.2000000000007276,0.08082408234386913,-49537.5,-1500.0,-48037.5,42966.52403325175,2494.5252554343883,-1.0566738041897261
1748935038,2025-06-03 12:47:18,445575,1384425,24742,24835,24929,24700,24826.3,4689825,-0.34,24741,24741.9,24741.45,0.9000000000014552,0.3637620268826019,29662.5,2062.5,27600.0,56958.94491868683,2854.43733509776,0.461435199179196
